long,lat,name,info
-85.4303701,32.6080817,"Academy Sports-Auburn,AL","2325 Bent Creek Road, Auburn,AL 36830, (334) 466-5500"
-87.0038986,34.5576744,"Academy Sports-Decatur,AL","1205 Wimberly Dr, Decatur,AL 35603, (256) 340-7800"
-85.4369784,31.2607256,"Academy Sports-Dothan,AL","3950 Montgomery Hwy, Dothan,AL 36303, (334) 673-5700 "
-87.6275111,34.8277329,"Academy Sports-Florence,AL","113 Cox Creek Pkwy South, Florence,AL 35630, (256) 768-7400"
-87.6833828,30.3807203,"Academy Sports-Foley,AL","2410 S McKenzie St, Foley,AL 36535, (251) 952-3434"
-85.99634,33.99998,"Academy Sports-Gadsden,AL","601 George Wallace Dr, Gadsden,AL 35903, (256) 439-6260"
-86.82491,33.36181,"Academy Sports-Hoover,AL","2810 John Hawkins Pkwy, Hoover,AL 35244, (205) 403-6145"
-86.590512,34.706096,"Academy Sports-Huntsville,AL","2900 Memorial Pkwy SW, Huntsville,AL 35801, (256) 539-1133"
-86.7279853,34.7564869,"Academy Sports-Madison,AL","7506 Highway 72 West, Madison,AL 35758, (256) 721-6440"
-88.13681,30.67501,"Academy Sports-Mobile,AL","3725 Airport Blvd, Mobile,AL 36608, (251) 380-5340"
-88.2163592,30.6868214,"Academy Sports-Mobile,AL","7460 Airport Blvd, Mobile,AL 36608, (251) 602-7700"
-86.1400451,32.3635595,"Academy Sports-Montgomery,AL","8610 Eastchase Parkway, Montgomery,AL 36117, (334) 215-2800"
-86.4052767,32.4566965,"Academy Sports-Prattville,AL","1557 Cotton Exchange, Prattville,AL 36066, (334) 290-6600"
-86.64225,33.6023,"Academy Sports-Trussville,AL","1612 Gadsden Hwy, Trusville,AL 35235, (205) 661-5500"
-87.5461,33.16721,"Academy Sports-Tuscaloosa,AL","710 Skyland Blvd, Tuscaloosa,AL 35405, (205) 391-6860"
-92.5316425,34.6069497,"Academy Sports-Benton,AR","20790 I-30 North, Benton,AR 72019, (501) 776-5460"
-92.416734,35.0606655,"Academy Sports-Conway,AR","1260 S Amity Rd, Conway,AR 72032, (501) 513-4710"
-94.1566099,36.119035,"Academy Sports-Fayetteville,AR","3864 N Steele Blvd, Fayetteville,AR 72703, (479) 444-2500"
-94.3781,35.33991,"Academy Sports-Fort Smith,AR","5001 Phoenix Avenue, Fort Smith,AR 72903, (479) 494-1740"
-90.6677399,35.8171196,"Academy Sports-Jonesboro,AR","2800 Parkwood Rd, Jonesboro,AR 72401, (870) 910-6100"
-92.40193,34.75434,"Academy Sports-Little Rock,AR","11400 West Markham, Little Rock,AR 72211, (501) 217-3700"
-94.1582172,36.2906722,"Academy Sports-Rogers,AR","3855 S 26th St, Rogers,AR 72758, (479) 619-1900"
-92.20639,34.81351,"Academy Sports-Sherwood,AR","6100 Warden Rd, Sherwood,AR 72120, (501) 210-6030"
