long,lat,name,info
-113.996308,51.200377,"Bass Pro Shops-Rocky View,AB","112-261055 Cross Iron Blvd, Rocky View,AB T4A 0G3, (403) 592-3900"
-149.820523,61.219175,"Bass Pro Shops-Anchorage,AK","3046 Mountain View Drive, Anchorage,AK 99501, (907) 330-5200"
-86.591745,33.542486,"Bass Pro Shops-Leeds,AL","5000 Bass Pro Blvd, Leeds,AL 35094, (205) 702-7500"
-86.394453,32.460965,"Bass Pro Shops-Prattville,AL","2553 Rocky Mount Rd, Prattville,AL 36066, (334) 290-6400"
-87.908378,30.659309,"Bass Pro Shops-Spanish Fort,AL","20000 Bass Pro Drive, Spanish Fort,AL 36527, (251) 607-5900"
-92.408982,34.658587,"Bass Pro Shops-Little Rock,AR","1 Bass Pro Drive, Little Rock,AR 72210, (501) 954-4500"
-94.17563,36.300939,"Bass Pro Shops-Rogers,AR","2300 S Promenade Blvd, Rogers,AR 72758, (479) 616-1925"
-111.8671,33.4369,"Bass Pro Shops-Mesa,AZ","1133 North Dobson, Mesa,AZ 85201, (602) 606-5600"
-123.081111,49.038611,"Bass Pro Shops-Tsawwassee,BC","5000 Canoe Pass Way, Tsawwassen,BC V4M 0B3, (604) 948-6200"
-121.2269,37.782,"Bass Pro Shops-Manteca,CA","1356 Bass Pro Drive, Manteca,CA 95337, (209) 825-8400"
-117.52691,34.112782,"Bass Pro Shops-Rancho Cucamonga,CA","7777 Victoria Gardens Lane, Rancho Cucamonga,CA 91739, (909) 922-5500"
-121.201886,38.803808,"Bass Pro Shops-Rocklin,CA","5472 Crossings Dr, Rocklin,CA 95677, (916) 251-3800"
-121.8731986,37.2574008,"Bass Pro Shops-San Jose,CA","5160 Cherry Ave, San Jose,CA 95118, (669) 234-5700"
-104.82193,39.027185,"Bass Pro Shops-Colorado Springs,CO","13012 Bass Pro Drive, Colorado Springs,CO 80921, (719) 488-7300"
-104.8959,39.7807,"Bass Pro Shops-Denver,CO","7970 Northfield Blvd, Denver,CO 80238, (720) 385-3600"
-73.178594,41.177813,"Bass Pro Shops-Bridgeport,CT","1 Bass Pro Dr, Bridgeport,CT 06608, (203) 362-4200"
-80.1645,26.0579,"Bass Pro Shops-Dania Beach,FL","200 Gulf Stream Way, Dania Beach,FL 33004, (954) 929-7710"
-81.065,29.1919444,"Bass Pro Shops-Daytona Beach,FL","1880 Checkered Flag Blvd, Daytona Beach,FL 32114, (386) 281-4300"
-86.42292,30.390101,"Bass Pro Shops-Destin,FL","4301 Legendary Drive, Destin,FL 32541, (850) 269-6200"
-81.791249,26.488104,"Bass Pro Shops-Ft Myers,FL","10040 Gulf Center Drive, Ft.Myers,FL 33913, (239) 461-7800"
-82.395833,29.628611,"Bass Pro Shops-Gainesville,FL","2650 Bass Pro Shops Blvd, Gainesville,FL 32608, (352) 204-4100"
-80.6395,24.915,"Bass Pro Shops-Islamorada,FL","81576 Overseas Hwy, Islamorada,FL 33036, (305) 664-4615"
-80.384314,25.788986,"Bass Pro Shops-Miami,FL","11551 NW 12th St, Miami,FL 33172, (305) 341-4200"
-81.448683,28.470434,"Bass Pro Shops-Orlando,FL","5156 International Dr, Orlando,FL 32819, (407) 563-5200"
-80.652373,28.034145,"Bass Pro Shops-Palm Bay,FL","750 Bass Pro Drive NE, Palm Bay,FL 32905, (321) 674-3700"
-80.419167,27.261667,"Bass Pro Shops-Port St Lucie,FL","2250 Gatlin Blvd, Port St Lucie,FL 34953, (772) 785-7600"
-84.2141288,30.460582,"Bass Pro Shops-Tallahassee,FL","4059 Lagniappe Way, Tallahassee,FL 32317, (850) 402-6900"
-82.3998032,27.9430199,"Bass Pro Shops-Tampa,FL","10501 Palm River Rd, Tampa,FL 33619, (813) 655-2400"
-84.0841,33.9817,"Bass Pro Shops-Lawrenceville,GA","5900 Sugarloaf Parkway, Lawrenceville,GA 30043, (678) 847-5500"
-83.735,32.9348,"Bass Pro Shops-Macon,GA","5000 Bass Pro Blvd, Macon,GA 31210, (478) 757-7600"
-81.1728,31.9832,"Bass Pro Shops-Savannah,GA","14045 Abercorn St, Savannah,GA 31419, (912) 961-4200"
-93.5147,41.6597,"Bass Pro Shops-Altoona,IA","1000 Bass Pro Drive NW, Altoona,IA 50009, (515) 957-5500"
-95.8914,41.2348,"Bass Pro Shops-Council Bluffs,IA","2901 Bass Pro Drive, Council Bluffs,IA 51501, (712) 325-6000"
-88.0408,41.7175,"Bass Pro Shops-Bolingbrook,IL","709 Janes Ave, Bolingbrook,IL 60440, (630) 296-2700"
-89.5791,40.684067,"Bass Pro Shops-East Peoria,IL","1000 Bass Pro Shops Drive, East Peoria,IL 61611, (309) 427-3400"
-87.9532,42.389,"Bass Pro Shops-Gurnee,IL","6112 W Grand Avenue, Gurnee,IL 60031, (847) 856-1229"
-85.7621,38.3198,"Bass Pro Shops-Clarksville,IN","951 E Lewis & Clark Pkwy, Clarksville,IN 47129, (812) 218-5500"
-87.168,41.6035,"Bass Pro Shops-Portage,IN","6425 Daniel Burnham Dr, Portage,IN 46368, (219) 787-6800"
-94.7781,38.91003,"Bass Pro Shops-Olathe,KS","12051 Bass Pro Dr, Olathe,KS 66061, (913) 254-5200"
-93.7417,32.5207,"Bass Pro Shops-Bossier City,LA","100 Bass Pro Drive, Bossier City,LA 71111, (318) 549-8800"
-90.9634,30.4517,"Bass Pro Shops-Denham Springs,LA","175 Bass Pro Boulevard, Denham Springs,LA 70726, (225) 271-3100"
-71.2719,42.0849,"Bass Pro Shops-Foxborough,MA","One Bass Pro Drive, Foxborough,MA 02035, (508) 216-2000"
-76.7227,39.1573,"Bass Pro Shops-Hanover,MD","7000 Arundel Mills Circle, Hanover,MD 21076, (410) 689-2500"
-83.2986,42.7039,"Bass Pro Shops-Auburn Hills,MI","Great Lakes Crossing - 4500 Baldwin Rd, Auburn Hills,MI 48326, (248) 209-4200"
-93.213,36.6402,"Bass Pro Shops-Branson,MO","1 Bass Pro Drive, Branson,MO 65616, (417) 243-5200"
-92.2915,38.971,"Bass Pro Shops-Columbia,MO","3101 Bass Pro Drive, Columbia,MO 65202, (573) 886-7100"
-94.3705,39.0402,"Bass Pro Shops-Independence,MO","18001 Bass Pro Drive, Independence,MO 64055, (816) 795-4300"
-93.2973,37.1798,"Bass Pro Shops-Springfield,MO","1935 S Campbell, Springfield,MO 65807, (417) 887-7334"
-93.296,37.1782,"Bass Pro Shops [Catalog Outlet]-Springfield,MO","2011 S Campbell Avenue, Springfield,MO 65807, (417) 891-5375"
-90.4978,38.7733,"Bass Pro Shops-St Charles,MO","1365 South 5th Street, St Charles,MO 63301, (636) 688-2500"
-90.151,32.2716,"Bass Pro Shops-Pearl,MS","100 Bass Pro Drive, Pearl,MS 39208, (601) 933-3700"
-64.763807,46.098934,"Bass Pro Shops-Dieppe,NB","1 Promenade Bass Pro Dr, Dieppe,NB E1A 6S5, (506) 878-5200"
-78.77092,35.830757,"Bass Pro Shops-Cary,NC","801 Bass Pro Lane, Cary,NC 27513, (919) 677-5100"
-80.7184,35.3671,"Bass Pro Shops-Concord,NC","8181 Concord Mills Blvd, Concord,NC 28027, (704) 979-2200"
-71.475873,43.039109,"Bass Pro Shops-Hooksett,NH","2 Commerce Dr, Hooksett,NH 03106, (603) 541-5200"
-74.4385059,39.3592373,"Bass Pro Shops-Atlantic City,NJ","30 N Christopher Columbus Blvd, Atlantic City,NJ 08401, (609) 449-4500"
-63.562029,44.71009,"Bass Pro Shops-Dartmouth,NS","50 Cabela Rd, Dartmouth,NS B3B 0M5, (902) 417-1800"
-115.1818,36.0427,"Bass Pro Shops-Las Vegas,NV","8200 Dean Martin Drive, Las Vegas,NV 89139, (702) 730-5200"
-76.6107,42.9294,"Bass Pro Shops-Auburn,NY","1579 Clark Street Road, Auburn,NY 13021, (315) 258-2700"
-75.2262493,43.1230468,"Bass Pro Shops-Utica,NY","710 Horatio Street, Utica,NY 13502, (315) 266-4900"
-84.5211,39.3026,"Bass Pro Shops-Cincinnati,OH","300 Cincinnati Mills Drive, Cincinnati,OH 45240, (513) 826-5200"
-83.5882,41.5598,"Bass Pro Shops-Rossford,OH","10000 Bass Pro Blvd, Rossford,OH 43460, (419) 891-3900"
-95.7921,36.0709,"Bass Pro Shops-Broken Arrow,OK","101 Bass Pro Drive, Broken Arrow,OK 74012, (918) 355-7600"
-97.5036,35.4634,"Bass Pro Shops-Oklahoma City,OK","200 Bass Pro Drive, Oklahoma City,OK 73104, (405) 218-5200"
-79.174669,43.159911,"Bass Pro Shops-Niagara On The Lake,ON","300 Taylor Rd [A1], Niagara On The Lake,ON L0S 1J0"
-79.5437,43.8249,"Bass Pro Shops-Vaughan,ON","1 Bass Pro Mills Drive, Vaughan,ON L4K 5W4, (905) 761-4000"
-76.832,40.2542,"Bass Pro Shops-Harrisburg,PA","3501 Paxton Street, Harrisburg,PA 17111, (717) 565-5200"
-78.7681,33.7912,"Bass Pro Shops-Myrtle Beach,SC","10177 North Kings Hwy., Myrtle Beach,SC 29572, (843) 361-4800"
-82.251715,36.593792,"Bass Pro Shops-Bristol,TN","1 Bass Pro Drive, Bristol,TN 37621, (423) 990-5200"
-85.203155,34.992969,"Bass Pro Shops-East Ridge,TN","1000 Bass Pro Dr, East Ridge,TN 37412, (423) 894-0400"
-83.6133,35.9857,"Bass Pro Shops-Kodak,TN","3629 Outdoor Sportsmans Place, Kodak,TN 37764, (865) 932-5600"
-89.8578,35.1654,"Bass Pro Shops-Memphis,TN","6140 Macon Rd, Memphis,TN 38134, (901) 213-5800"
-90.0344543,35.1508179,"Bass Pro Shops-Memphis Pyramid,TN","1 Bass Pro Dr, Memphis Pyramid,TN 38105, (901) 291-8200"
-86.69,36.2009,"Bass Pro Shops-Nashville,TN","323 Opry Mills Dr, Nashville,TN 37214, (615) 514-5200"
-96.5385,32.866,"Bass Pro Shops-Garland,TX","5001 Bass Pro Drive, Garland,TX 75043, (469) 221-2600"
-97.0428,32.95707,"Bass Pro Shops-Grapevine,TX","2501 Bass Pro Drive, Grapevine,TX 76051, (972) 724-2018"
