,index,long,lat,name,info,a,b,c,d,e,f
0,0,-74.05677800000002,40.857684000000006,Costco - Teterboro; Gas/Diesel; #1214,201-596-7001,2 Teterboro Landing Dr,Teterboro,NJ,07608,USA,
1,1,-76.95043199999998,38.920378,Costco - Washington; #1120,202-269-8540,2441 Market St NE,Washington,DC,20018,USA,
2,2,-72.967736,41.539384999999996,Costco - Waterbury; Gas; #0313,203-596-9967,3600 E Main St; I-84 Exit 25 or 26,Waterbury,CT,06705,USA,
3,3,-73.406385,41.441957,Costco - Brookfield; Gas; #0304,203-740-7623,200 Federal Rd,Brookfield,CT,06804,USA,
4,4,-73.45145500000002,41.092017,Costco - Norwalk; #0324,203-822-2000,779 Connecticut Ave,Norwalk,CT,06854,USA,
5,5,-73.02466700000002,41.250934,Costco - Milford; Gas; #0312,203-882-8881,1718 Boston Post Rd,Milford,CT,06460,USA,
6,6,-97.20549,49.82027,Costco - South Winnipeg; Gas; #0549,204-487-5100,2365 McGillivray Blvd,Winnipeg,MB,R3Y 0A1,CAN,
7,7,-97.198652,49.904268,Costco - West Winnipeg; #0057,204-788-4754,1315 St. James Street,Winnipeg,MB,R3H 0K9,CAN,
8,8,-97.052697,49.896763,Costco - East Winnipeg; Gas; #0153,204-989-9997,1499 Regent Avenue,Winnipeg,MB,R2C 4M4,CAN,
9,9,-86.812736,33.379407,Costco - Hoover; Gas; #0362,205-909-1039,3650 Galleria CR; I-459 Exit 13,Hoover,AL,35244,USA,
10,10,-122.344862,47.775285,Costco - Aurora Village; Gas/Diesel; #0106,206-546-0480,1175 N 205th Street,Shoreline,WA,98133,USA,
11,11,-122.24833999999998,47.445595000000004,Costco - Tuckwila; Gas/Diesel; #0006,206-575-9191,400 Costco Dr Ste 150,Tukwila,WA,98188,USA,
12,12,-122.330453,47.564921999999996,Costco - Seattle; Gas; #0001,206-674-1220,4401 4th Avenue South; I-5 Exit 163,Seattle,WA,98134,USA,
13,13,-112.45517,42.904996000000004,Costco - Pocatello; Gas; #1033,208-238-4040,305 West Quinn; I-86 Exit 61,Pocatello,ID,83202,USA,
14,14,-116.27668999999999,43.58507700000001,Costco - Boise; Gas; #0761,208-321-8703,2051 S Cole Rd; I-84 Exit 50,Boise,ID,83709,USA,
15,15,-116.589753,43.614889,Costco - Nampa; Gas; #0734,208-465-3810,16700 N Marketplace Blvd; I-84 Exit 33,Nampa,ID,83687,USA,
16,16,-116.783026,47.708846,Costco - Coeur D' Alene; Gas/Diesel; #0773,208-676-7350,355 East Neider Ave,Coeur D'Alene,ID,83815,USA,
17,17,-114.463844,42.592958,Costco - Twin Falls; Gas; #0145,208-736-1550,731 Pole Line Rd,Twin Falls,ID,83301,USA,
18,18,-121.066252,37.700208,Costco - Modesto; Gas; #0661,209-342-4903,3801 Pelandale Ave; Hwy 99 Exit 233,Modesto,CA,95356,USA,
19,19,-121.263328,38.10026,Costco - Lodi; Gas; #1091,209-366-7300,2680 Reynolds Ranch Pkwy; Hwy 99 Exit 263,Lodi,CA,95240,USA,
20,20,-121.29275200000001,38.018799,Costco - Stockton; Gas; #0038,209-478-2045,1616 East Hammer Ln; Hwy 99 Exit 258,Stockton,CA,95210,USA,
21,21,-120.888552,37.519131,Costco - Turlock; Gas; #0782,209-656-5301,2955 N Tegner Rd; Hwy 99 Exit 215,Turlock,CA,95380,USA,
22,22,-120.496987,37.303226,Costco - Merced; Gas; #0142,209-725-5020,1445 R Street,Merced,CA,95340,USA,
23,23,-121.260319,37.785154,Costco - Manteca; Gas; #1031,209-825-8200,2440 Daniels St; Hwy 120 Exit 3,Manteca,CA,95336,USA,
24,24,-121.47570400000001,37.750507,Costco - Tracy; Gas; #0658,209-830-5343,3250 W Grant Line Rd; I-205 EXit 6,Tracy,CA,95377,USA,
25,25,-98.597208,29.576109000000002,Costco - NW San Antonio; Gas; #0689,210-200-2023,5611 Utsa Blvd,San Antonio,TX,78249,USA,
26,26,-82.311008,34.836086,Costco - Selma; Gas; #1006,210-332-1072,15330 IH-35 North,Selma,TX,78154,USA,
27,27,-98.47535,29.612209000000004,Costco - Sonterra Park; #0693,210-403-4703,1201 North Loop 1604 East,San Antonio,TX,78232,USA,
28,28,-73.93146,40.795715,Costco - Manhattan; #1062,212-896-5882,517 E 117th St,New York,NY,10035,USA,
29,29,-75.08009200000002,40.196711,Costco - Bucks County; Gas; #1103,213-347-1950,100 Veterans Way,Warminster,PA,18974,USA,
30,30,-75.23421,40.237198,Costco - Montgomeryville; #0248,215-353-4153,740 Upper State Rd,North Wales,PA,19454,USA,
31,31,-94.247851,46.348715999999996,Costco - Baxter; Gas; #1122,218-855-5740,13650 Elder Dr,Baxter,MN,56425,USA,
32,32,-87.32186800000002,41.473844,Costco - Merrillville; Gas; #0370,219-641-6403,1310 E 79th Ave; I-65 Exit 263,Merrillville,IN,46410,USA,
33,33,-91.07352,30.420016999999998,Costco - Baton Rouge; Gas; #1172,225-295-4600,10000 Dawndale Ave,Baton Rouge,LA,70809,USA,
34,34,-80.582161,43.444302,Costco - Waterloo; Gas; #1248,226-215-1150,930 Erb St W,Waterloo,ON,N2J 3Z4,CAN,
35,35,-85.57243299999998,44.733226,Costco - Traverse City; Gas/Diesel; #1279,231-252-7000,125 E South Airport Rd,Traverse City,MI,49686,USA,
36,36,-81.874196,26.544565999999996,Costco - Fort Myers; Gas; #0351,239-415-3806,7171 Cypress Lake Dr,Fort Myers,FL,33907,USA,
37,37,-81.785933,26.489631,Costco - Estero; Gas; #0621,239-433-7242,10088 Gulf Center Dr; I-75 Exit 128,Fort Myers,FL,33913,USA,
38,38,-81.77533100000002,26.220651,Costco - Naples; Gas; #0354,239-596-6404,6275 Naples Blvd,Naples,FL,34109,USA,
39,39,-83.50295600000003,42.598149,Costco - Commerce Twp; Gas; #0341,248-529-2300,3000 Commerce Crossing,Commerce Township,MI,48390,USA,
40,40,-83.11766,42.51557800000001,Costco - Madson Heights; Gas; #0393,248-616-0048,30550 Stephenson Hwy,Madison Heights,MI,48071,USA,
41,41,-83.295923,42.70663,Costco - Auburn Hills; Gas; #0376,248-648-0003,400 Brown Rd; I-75 Exit 84,Auburn Hills,MI,48326,USA,
42,42,-83.29271,42.607025,Costco - Bloomfield; Gas; #0392,248-836-1601,2343 South Telegraph Rd,Bloomfield,MI,48302,USA,
43,43,-124.9619,49.713215999999996,Costco - Courtenay; Gas; #1092,250-331-8700,588 Crown Isle Blvd,Courtenay,BC,V9N 0A6,CAN,
44,44,-120.38815100000001,50.654990999999995,Costco - Kamloops; Gas; #0161,250-374-4209,1675 Versatile Drive,Kamloops,BC,V1S 1W7,CAN,
45,45,-124.045,49.236774,Costco - Nanaimo; #0155,250-390-3231,6700 Island Highway N.,Nanaimo,BC,V9V 1K8,CAN,
46,46,-123.501499,48.458039,Costco - Langford; Gas; #0256,250-391-0972,799 McCallum Road,Victoria,BC,V9B 6A2,CAN,
47,47,-122.77148700000001,53.883145999999996,Costco - Prince George; Gas; #0158,250-561-1784,2555 Range Road,Prince George,BC,V2N 4GB,CAN,
48,48,-119.419494,49.887018,Costco - Kelowna; #0059,250-868-9512,2479 Highway 97,Kelowna,BC,V1X 4J2,CAN,
49,49,-88.117864,30.64957,Costco - Mobile; Gas; #1192,251-308-7030,1450 Tingle Circle W; I-65 Exit 1,Mobile,AL,36606,USA,
50,50,-122.308696,47.156326,Costco - Puyallup; Gas; #0660,253-445-7543,1201 39th Ave SW,Puyallup,WA,98373,USA,
51,51,-122.468144,47.224717999999996,Costco - Tacoma; Gas; #0095,253-671-6000,2219 South 37th Street; I-5 Exit 132 or 133,Tacoma,WA,98409,USA,
52,52,-122.37395500000001,47.238296999999996,Business Center; #0767,253-719-1953,3900 20th St East,Fife,WA,98424,USA,
53,53,-122.158056,47.167537,Costco - Bonney Lake; Gas; #1278,253-750-8120,9801 204th Ave E,Bonney Lake,WA,98391,USA,
54,54,-122.121742,47.355307,Costco - Covington; Gas; #1029,253-796-1002,27520 Covington Way SE,Covington,WA,98042,USA,
55,55,-122.60439299999999,47.357357,Costco - Gig Harbor; Gas; #0624,253-853-8600,10990 Harbor Hill Dr,Gig Harbor,WA,98335,USA,
56,56,-122.309595,47.286913,Costco - Federal Way; Gas; #0061,253-874-3652,35100 Enchanted Pkwy S; I-5 Exit 142,Federal Way,WA,98003,USA,
57,57,-86.602743,34.743446999999996,Costco - Huntsville; Gas; #0356,256-519-2223,1205 Memorial Pkwy NW; I-565 Exit 19,Huntsville,AL,35801,USA,
58,58,-85.159063,41.12631,Costco - Fort Wayne; Gas; #1161,260-481-1100,5110 Value Dr; I-69 Exit 311,Fort Wayne,IN,46808,USA,
59,59,-87.921614,43.432946,Costco - Grafton; Gas; #0628,262-204-1050,950 Port Washington Rd,Grafton,WI,53024,USA,
60,60,-87.921133,42.564538,Costco - Pleasant Prairie; Gas/Diesel; #1198,262-597-1027,7707 94th Ave; I-94 Exit 344,Pleasant Prairie,WI,53158,USA,
61,61,-88.10635400000002,42.944793,Costco - New Berlin; Gas/Diesel; #1212,262-599-7030,15300 W Grange Ave,New Berlin,WI,53151,USA,
62,62,-88.11118,43.183386999999996,Costco - Menomonee Falls; Gas/Diesel; #1209,262-946-6060,W162 N9235 Pershing Ave; Hwy 45 Exit 51/52,Menomenee Falls,WI,53051,USA,
63,63,-88.23139300000004,43.089596,Costco - Pewaukee; Gas; #1101,262-956-6700,443 Pewaukee Rd,Pewaukee,WI,53072,USA,
64,64,-85.646834,42.27182,Costco - Kalamazoo; Gas; #1191,269-743-2298,5100 Century Ave; I-94 Exit 36,Kalamazoo,MI,49006,USA,
65,65,-95.78152,29.782545000000002,Costco - West Katy; Gas; #1167,281-347-9900,23645 Katy Freeway; I-10 Exit 742/743,Katy,TX,77494,USA,
66,66,-95.643425,29.585354,Costco - Sugar Land; Gas; #1146,281-566-6720,17520 SW Freeway,Sugar Land,TX,77479,USA,
67,67,-95.389811,29.544538,Costco - Pearland; Gas/Diesel; #1221,281-707-7001,3500 Business Center Dr,Pearland,TX,77584,USA,
68,68,-95.266846,30.021269,Costco - Humble; Gas/Diesel; #1228,281-707-7051,21802 Townson Blvd W,Humble,TX,77338,USA,
69,69,-95.142022,29.536398,Costco - Webster; Gas; #1330,281-707-7750,1310 Jasmine Ave; I-45 Exit 26,Webster,TX,77598,USA,
70,70,-79.643225,43.216815999999994,Costco - Stoney Creek; Gas; #1273,289-335-4820,1330 S Service Rd; QEW Exit 78,Stoney Creek,ON,L8E 5C5,CAN,
71,71,-79.639189,43.769937,Costco - NW Vaughan; Gas; #1261,289-459-0921,55 New Huntington Rd,Vaughan,ON,L4L 0S8,CAN,
72,72,-76.85179699999998,38.923783,Costco - Woodmore Towne Ctr; Gas; #1078,301-341-6740,2400 Five Lees Ln,Glenarden,MD,20706,USA,
73,73,-76.872485,38.670319,Costco - Brandywine; Gas; #1039,301-372-3200,16006 Crain Hwy,Brandywine,MD,20613,USA,
74,74,-77.21449100000002,39.155967,Costco - Gaithersburg; #0213,301-417-1503,880 Russell Ave,Gaithersburg,MD,20879,USA,
75,75,-77.407533,39.401683,Costco - Frederick; Gas; #0330,301-644-1483,10 Monocacy Blvd,Frederick,MD,21704,USA,
76,76,-76.90826700000002,39.032484000000004,Costco - Beltsville; Gas; #0214,301-902-2643,10925 Baltimore Ave,Beltsville,MD,20705,USA,
77,77,-77.05497199999998,39.036784000000004,Costco - Wheaton; #1129,301-942-3200,11160 Veirs Mill Rd,Wheaton,MD,20902,USA,
78,78,-75.64755699999998,39.67775200000001,Costco - Christiana; #0246,302-894-0511,900 Center Blvd,Newark,DE,19702,USA,
79,79,-105.00814799999999,39.643831,Costco - Sheridan; Gas; #1027,303-200-1830,4000 River Point Pkwy,Sheridan,CO,80110,USA,
80,80,-105.08300200000001,39.790269,Costco - Arvada; Gas; #0676,303-463-3603,5195 Wadsworth Blvd; I-70 Exit 269,Arvada,CO,80002,USA,
81,81,-104.98326100000001,39.99149,Costco - Thornton; Gas; #0629,303-474-3255,16375 N Washington St; I-25 Exit 228 or 229,Thornton,CO,80023,USA,
82,82,-104.775951,39.555576,Costco - Parker; Gas; #1022,303-583-1937,18414 Cottonwood Dr; I-470 Exit 5,Parker,CO,80134,USA,
