long,lat,name,info
-86.8032306,33.2257462,"Dicks Sporting Goods-Alabaster,AL","[Colonial Promenade Alabaster], 200 S Colonial Dr, Alabaster,AL 35007, (205) 564-2684"
-86.686248,33.418149,"Dicks Sporting Goods-Birmingham,AL","[Brook Highland Plaza], 5201 Highway 280 South, Birmingham,AL 35242, (205) 981-1320"
-86.8503604,34.1840076,"Dicks Sporting Goods-Cullman,AL","[Cullman Shopping Center], 1106 Cullman Shopping Center Nw, Cullman,AL 35055, (256) 841-3534"
-87.90395,30.655118,"Dicks Sporting Goods-Daphne,AL","[Jubilee Square], 6850 Us Highway 90, Daphne,AL 36526, (251) 621-0031"
-85.44199,31.265054,"Dicks Sporting Goods-Dothan,AL","[Dothan Pavilion], 4401 Montgomery Hwy, Dothan,AL 36303, (334) 671-1370"
-87.636533,34.840076,"Dicks Sporting Goods-Florence,AL","[Cox Creek Centre], 376 Cox Creek Parkway, Florence,AL 35630, (256) 760-4211"
-86.81578,33.375018,"Dicks Sporting Goods-Hoover,AL","[Patton Creek], 4401 Creekside Avenue, Hoover,AL 35244, (205) 909-1400"
-86.676533,34.714184,"Dicks Sporting Goods-Huntsville,AL","[Bridge St Town Ctr], 6890 Governor's Dr West, Huntsville,AL 35806, (256) 801-3766"
-86.547783,34.677683,"Dicks Sporting Goods-Huntsville,AL","[Westside Pavillion], 2718 Carl T Jones Drive, Huntsville,AL 35802, (256) 881-3212"
-88.1057892,30.670105,"Dicks Sporting Goods-Mobile,AL","[Mcgowin Park], 1390 Tingle Circle, Mobile,AL 36606, (251) 450-1334"
-86.148785,32.364021,"Dicks Sporting Goods-Montgomery,AL","[East Chase], 7861 Eastchase Parkway, Montgomery,AL 36117, (334) 277-8180"
-85.408201,32.618154,"Dicks Sporting Goods-Opelika,AL","[Tiger Town], 2718 Enterprise Drive, Opelika,AL 36801, (334) 749-8123"
-85.780563,33.610952,"Dicks Sporting Goods-Oxford,AL","[Oxford Exchange], 1500 Oxford Exchange, Oxford,AL 36203, (256) 831-7739"
-87.5255153,33.2001948,"Dicks Sporting Goods-Tuscaloosa,AL","[Shoppes at Legacy Park], 1320 Mcfarland Blvd E, Tuscaloosa,AL 35404, (205) 535-3006"
-92.412723,35.087193,"Dicks Sporting Goods-Conway,AR","[Conway Commons], 620 Elsinger Boulevard, Conway,AR 72032, (501) 336-0700"
-94.389064,35.33842,"Dicks Sporting Goods-Fort Smith,AR","[Fort Smith Pavilion], 3825 Phoenix Avenue, Fort Smith,AR 72903, (479) 646-8900"
-93.069626,34.467855,"Dicks Sporting Goods-Hot Springs,AR","[Fairground Crossing], 1420 Higdon Ferry Road, Hot Springs,AR 71913, (501) 624-0200"
-92.222822,34.787119,"Dicks Sporting Goods-North Little Rock,AR","[McCain Plaza], 4188 E McCain Blvd, North Little Rock,AR 72117, (501) 478-2126"
-111.746871,33.307887,"Dicks Sporting Goods-Gilbert,AZ","[San Tan Village], 2269 San Tan Village Parkway, Gilbert,AZ 85295, (480) 899-3993"
-112.224067,33.639683,"Dicks Sporting Goods-Glendale,AZ","[Arrowhead Towne Center], 7680 West Arrowhead Towne Center, Glendale,AZ 85308, (623) 334-8366"
-110.936925,32.421795,"Dicks Sporting Goods-Oro Valley,AZ","[Oro Valley Marketplace], 11935 North Oracle Road, Oro Valley,AZ 85737, (520) 742-0792"
-111.930377,33.657599,"Dicks Sporting Goods-Phoenix,AZ","[E Mayo Blvd], 7000 E Mayo Blvd, Phoenix,AZ 85054, (480) 212-0260"
-112.109443,33.712967,"Dicks Sporting Goods-Phoenix,AZ","[The Shops At Norterra], 2350 West Happy Valley Road, Phoenix,AZ 85085, (623) 434-3388"
-112.365419,34.576389,"Dicks Sporting Goods-Prescott Valley,AZ","[Prescott Valley Crossroads], 5715 E State Route 69, Prescott Valley,AZ 86314, (928) 776-0499"
-111.9288249,33.5023651,"Dicks Sporting Goods-Scottsdale,AZ","[Scottsdale Fashion Center], 7014 E Camelback Rd, Scottsdale,AZ 85251, (480) 240-4409"
-111.968928,33.337249,"Dicks Sporting Goods-Tempe,AZ","[Emerald Center], 8550 South Emerald Drive, Tempe,AZ 85284, (480) 592-0938"
-110.8561076,32.2212193,"Dicks Sporting Goods-Tuscon,AZ","[Wilmont Plaza], 6327 E Broadway Blvd, Tucson,AZ 85710, (520) 203-0016"
-119.105057,35.383568,"Dicks Sporting Goods-Bakersfield,CA","[Northwest Promenade], 9300 Rosedale Hwy, Bakersfield,CA 93312, (661) 588-8100"
-118.0923233,33.8586998,"Dicks Sporting Goods-Cerritos,CA","[Los Cerritos Center], 435 Los Cerritos Center [Ste F17], Cerritos,CA 90703, (562) 376-9087"
-121.806624,39.727208,"Dicks Sporting Goods-Chico,CA","[Chico Mall] 1922 E 20th St, Chico,CA 95928, (530) 343-3351"
-117.716669,33.997263,"Dicks Sporting Goods-Chino,CA","[Spectrum Marketplace], 4044 Grand Avenue, Chino,CA 91710, (909) 590-7626"
-117.048168,32.639566,"Dicks Sporting Goods-Chula Vista,CA","[Terra Nova Plaza], 390 East H St, Chula Vista,CA 91910, (619) 761-5998"
-119.695384,36.837538,"Dicks Sporting Goods-Clovis,CA","[Clovis Shopping Centre], 1225 Herndon Avenue, Clovis,CA 29233, (559) 322-4628"
-122.4698071,37.669225,"Dicks Sporting Goods-Daly City,CA","[Serramonte Mall], 64 Serramonte Center, Daly City,CA 94015, (415) 325-4109"
-121.874639,37.7057,"Dicks Sporting Goods-Dublin,CA","[Fallon Gateway] 2820 Dublin Blvd, Dublin,CA 94568, (925) 479-0680"
-116.968868,32.807562,"Dicks Sporting Goods-El Cajon,CA","[Parkway Plaza], 565 Fletcher Parkway, El Cajon,CA 92020, (619) 447-0191"
-118.396047,33.90561,"Dicks Sporting Goods-El Segundo,CA","[Plaza El Segundo], 770 South Sepulveda Blvd, El Segundo,CA 90245, (310) 726-9123"
-121.405032,38.423725,"Dicks Sporting Goods-Elk Grove,CA","[Laguna Gateway], 8217 Laguna Blvd, Elk Grove,CA 95758, (916) 226-1711"
-117.266485,33.06769,"Dicks Sporting Goods-Encinitas,CA","[Encinitas Ranch], 1050 N El Camino Real, Encinitas,CA 92024, (760) 452-4046"
-117.097226,33.108437,"Dicks Sporting Goods-Escondido,CA","[Escondido Promenade], 1200 Auto Park Way, Escondido,CA 92029, (760) 233-2700"
-122.05331,38.26122,"Dicks Sporting Goods-Fairfield,CA","[Solano Town Center], 1451 Gateway Blvd, Fairfield,CA 94533, (707) 384-6046"
-121.1557,38.66889,"Dicks Sporting Goods-Folsom,CA","[Willow Creek SC], 1003 E Bidwell St, Folsom,CA 95630, (916) 358-7111"
-121.9692982,37.5007937,"Dicks Sporting Goods-Fremont,CA","[Pacific Commons], 43923 Pacific Commons Blvd, Fremont,CA 94538, (510) 897-6475"
-119.85276,36.80839,"Dicks Sporting Goods-Fresno,CA","[Arbor Faire], 3380 West Shaw Avenue, Fresno,CA 93711, (559) 271-2701"
-118.2566986,34.1460075,"Dicks Sporting Goods-Glendale,CA","[Glendale Galleria], 200 West Broadway, Glendale,CA 91210, (818) 476-5960"
-122.0992861,37.6518597,"Dicks Sporting Goods-Hayward,CA","[Southland Mall], 549 Southland Mall, Hayward,CA 94545, (510) 695-2117"
-117.996488,33.730086,"Dicks Sporting Goods-Huntington Beach,CA","[Edinger Plaza], 7542 Edinger Avenue, Huntington Beach,CA 92647, (714) 847-3179"
-117.62885,33.56476,"Dicks Sporting Goods-Ladera Ranch,CA","[Ladera Ranch], 27502 Antonio Parkway #B, Ladera Ranch,CA 92694, (949) 365-1278"
-117.691414,33.601655,"Dicks Sporting Goods-Laguna Hills,CA","[Laguna Hills Plaza Shopping Center], 24821 Alicia Parkway, Laguna Hills,CA 92653, (949) 472-8180"
-121.2662081,38.0981391,"Dicks Sporting Goods-Lodi,CA","[Reynolds Ranch], 2760 Reynolds Ranch Parkway, Lodi,CA 95240, (209) 368-2328"
-121.899132,37.414707,"Dicks Sporting Goods-Miliptas,CA","[The Great Mall of the Bay Area], 1200 Great Mall Dr, Miliptas,CA 95035, none listed"
-121.0499167,37.6883076,"Dicks Sporting Goods-Modesto,CA","[Vintage Faire Mall], 3401 Dale Road, Modesto,CA 95356, (209) 578-1215"
-118.891837,34.278972,"Dicks Sporting Goods-Moorpark,CA","[Moorpark], 706 Los Angeles Avenue, Moorpark,CA 93021, (805) 978-4091"
-121.6516571,37.1545334,"Dicks Sporting Goods-Morgan Hill,CA","[Cochrane Commons], 1007 Cochrane Road, Morgan Hill,CA 95037, (408) 763-4779"
-117.177105,33.556435,"Dicks Sporting Goods-Murrieta,CA","[Murrieta], 40404 Murrieta Hot Springs Road, Murrieta,CA 92563, (951) 691-5401"
-117.872784,33.614576,"Dicks Sporting Goods-Newport Beach,CA","[Fashion Island Shopping Center], 435 Newport Center Drive, Newport Beach,CA 92660, (949) 640-1107"
-117.295288,33.179996,"Dicks Sporting Goods-Oceanside,CA","[College Boulevard], 3514 College Blvd, Oceanside,CA 92056, (760) 945-5444"
-119.176319,34.232264,"Dicks Sporting Goods-Oxnard,CA","[Esplande Center], 231 W Esplande Drive, Oxnard,CA 29232, (805) 973-1260"
