index,long,lat,name,info,a,b,c,d,e
0,-98.48873798735,29.425381030887,*Alamo City H-D Riverwalk,210-212-4461,111 W Crockett St,San Antonio,TX,78205,USA
1,-122.4155089817,37.806282984092,*Alcatraz H-D Fisherman's Wharf,415-776-7779,95 Tayl,San Francisco,CA,94133,USA
2,-102.2419509664,43.99202300235601,*Badlands H-D,605-279-2288,601 Main St,Wall,SD,57790,USA
3,-86.654907,46.411431,*Bald Eagle H-D,,102 E Munising Ave,Munising,MI,49862,USA
4,-106.39608500000001,31.799084999999998,*Barnett H-D Int'l Airport,915-779-3411,6701 Convair Rd El Paso Int'l Airport Concourse B3,El Paso,TX,79925,USA
5,-109.24693602129999,45.187436034902,*Beartooth Pass H-D,406-446-9856,14 N Broadway,Red Lodge,MT,59068,USA
6,-86.7766229622,36.164364963769,*Boswell's Music City H-D,615-242-7078,180 2nd Ave N,Nashville,TN,37201,USA
7,-90.06866899318001,29.955313028766998,*Bourbon Street H-D,504-293-1820,235 Bourbon St,New Orleans,LA,70130,USA
8,-111.9338519778,33.831692039966,*Buddy Stubbs H-D Cave Creek,480-595-9500,6812 East Cave Creek Rd #1,Cave Creek,AZ,85331,USA
9,-109.0649909712,44.526151986792,*Buffalo Bill H-D,307-527-7776,1137 Sheridan Ave,Cody,WY,82414,USA
10,-70.29076597653001,41.649190038442,*Cape Cod H-D Hyannis,508-778-0021,615 Main St,Hyannis,MA,02601,USA
11,-84.27283499389,35.357386004179,*Cherohala H-D,423-253-7432,1650 Cherohala Pkwy,Tellico Plains,TN,37385,USA
12,-83.31855300000001,35.47615,*Cherokee H-D,828-497-1200,935 Tsalagi Rd,Cherokee,NC,28719,USA
13,-110.76512499709999,43.479144992306004,*Chester's Jackson Hole H-D,307-739-1500,40 S Millward,Jackson,WY,83001,USA
14,-135.3128690365,59.456755975261004,*Chilkoot Pass H-D,907-983-3620,750 Broadway St,Skagway,AK,99840,USA
15,-82.247031,35.439221999999994,*Chimney Rock H-D,828-436-5100,363 Main St,Chimney Rock,NC,28720,USA
16,-79.07355797477,43.090873025357,*Clare's H-D At The Falls,905-357-2200 x1903,4945 Clifton Hill,Niagara Falls,ON,L2G 3N5,CAN
17,-80.203962,42.78712,*Clare's H-D of Port Dover,519-583-9200,334-338 Main St,Port Dover,ON,N0A 1N0,CAN
18,-80.609206,28.352319,*Cocoa Beach H-D,321-799-2221,3670 N Atlantic Ave,Cocoa Beach,FL,32931,USA
19,-103.73062900000001,44.376396,*Deadwood H-D,605-722-2675,681 Main St,Deadwood,SD,57732,USA
20,-93.732045,36.392487,*Eureka Springs H-D,479-363-6224,302 Village Cir,Eureka Springs,AR,72632,USA
21,-75.65106800000001,35.995898,*First Flight H-D,252-338-8866,1808 S Croatan Hwy,Kill Devil Hills,NC,27948,USA
22,-112.470348,34.540929,*Grand Canyon H-D Prescott,928-778-2241,138 S Montezuma,Prescott,AZ,86303,USA
23,-111.75890700000001,34.87149,*Grand Canyon H-D Sedona,928-204-0020,320 N Hwy 89A #1,Sedona,AZ,86336,USA
24,-117.911332,33.805021,*H-D of Anaheim,714-399-0080,321 W Katella Ave,Anaheim,CA,92802,USA
25,-73.96941899321,40.760520966723,*H-D of New York City,212-355-3003,686 Lexington Ave,New York,NY,10022,USA
26,-77.017263,38.783709,*H-D of Washington DC Oxon Hill,301-749-6644,185 Waterfront St,Oxon Hill,MD,20745,USA
27,-103.575784,43.931636,*Hill City H-D,605-574-3636,261 Main St,Hill City,SD,57745,USA
28,-83.51088100000001,35.71372,*Hillbilly H-D,865-430-1602,530 Parkway,Gatlinburg,TN,37738,USA
29,-157.837094,21.282871,*Honolulu H-D Hilton Hawaiian Village,808-973-4630,2005 Kalia Rd,Honolulu,HI,96815,USA
30,-87.90222,42.948009000000006,*House of H-D Int'l Airport,414-747-5384,5300 S Howell Ave Mitchell Int'l Airport WC-1,Milwaukee,WI,53207,USA
31,-131.644871,55.340126,*Inside Passage H-D,907-225-4625,34 Front St #204,Ketchikan,AK,99901,USA
32,-156.676489,20.87098,*Lahaina H-D,808-667-2800,602 Front St,Lahaina,HI,96761,USA
33,-88.43388,42.591522,*Lake Geneva H-D,262-729-4078,704 Main St,Lake Geneva,WI,53147,USA
34,-115.172379,36.113372999999996,*Las Vegas H-D Ballys Hotel,702-893-7773,3645 S Las Vegas Blvd,Las Vegas,NV,89109,USA
35,-115.1425999961,36.170130036771,*Las Vegas H-D Freemont,702-383-1010,328 E Freemont St,Las Vegas,NV,89101,USA
36,-115.16823000000001,36.117627,*Las Vegas H-D High Roller,702-732-3133,3545 S Las Vegas Blvd,Las Vegas,NV,89109,USA
37,-115.1720700133,36.101849963888,*Las Vegas H-D MGM Grand Hotel,702-795-7073,3799 S Las Vegas Blvd,Las Vegas,NV,89109,USA
38,-115.14858501030001,36.083700964227,*Las Vegas H-D McCarran Airport,702-736-9493,5757 Wayne Newton Blvd Mccarran Airport,Las Vegas,NV,89111,USA
39,-114.349049,34.470991999999995,*London Bridge H-D,928-302-1812,1425 N McCulloch Blvd Unit J,Lake Havasu City,AZ,86403,USA
40,-86.373517,35.283115,*Lynchburg H-D,931-759-4430,6 Short St,Lynchburg,TN,37352,USA
41,-78.882272,33.717434999999995,*MB H-D at Broadway at the Beach,843-293-5555,1316 Celebrity Cir #V-172,Myrtle Beach,SC,29577,USA
42,-73.71194399999999,43.412321999999996,*McDermotts H-D,518-668-4575,2183 US 9,Lake George,NY,12845,USA
43,-121.900231,36.616417,*Monterey Bay H-D,831-731-5067,700 Cannery Row #B,Monterey,CA,93940,USA
44,-148.89830700000002,63.74631,*Mt McKinley H-D,907-683-4275,238.6 Parks Hwy,Denali Park,AK,99755,USA
45,-122.33976499999999,47.604299,*Mt Rainier H-D,206-462-3100,1001 Alaskan Way,Seattle,WA,98104,USA
46,-78.959214,33.750690999999996,*Myrtle Beach H-D Tanger Outlet Center,843-236-5555,4628 Factory Stores Blvd Suite B-240,Myrtle Beach,SC,29579,USA
47,-75.622535,35.953539,*Nags Head H-D,252-255-5922,4104 S Virginia Dare Tr #22,Nags Head,NC,27959,USA
48,-81.519774,28.369906,*Orlando H-D Downtown Disney,407-938-0522,1502 E Buena Vista Dr #B1,Lake Buena Vista,FL,32830,USA
49,-81.47122399999999,28.449222999999996,*Orlando H-D Gear Store,407-351-3302,8000 International Dr,Orlando,FL,32819,USA
50,-81.30666797049,28.431182038038003,*Orlando H-D Int'l Airport,407-825-3533,9303 Jeff Fuqua Blvd #2969,Orlando,FL,32827,USA
51,-81.805452,24.559541,*Peterson's Key West H-D,305-517-6562,121 Duval St,Key West,FL,33040,USA
52,-89.793545,43.59637,*Reel Brothers Dells H-D,608-253-2252,524 Wisconsin Dells Pkwy N,Wisconsin Dells,WI,53965,USA
53,-119.814995,39.530882,*Reno H-D Silver Legacy,775-323-2453,407 N Virginia St 2nd Floor,Reno,NV,89501,USA
54,-117.171502,32.708828000000004,*San Diego H-D Seaport Village,619-234-5780,849 W Harbor Dr,San Diego,CA,92101,USA
55,-81.093851,32.082493,*Savannah H-D on River St,912-231-8000,221 W River St,Savannah,GA,31401,USA
