long,lat,name,info
-70.102875,43.857602,L.L. Bean Freeport (Flagship),"95 Main Street
Freeport Maine 04032
877-755-2326"
-70.102875,43.857602,L.L. Bean Freeport (Hunting/Fishing),"95 Main St.
Freeport ME 04032
877-755-2326"
-70.103403,43.85708,L.L. Bean Freeport (Bike/Boat/Ski),"57 Main St.
Freeport ME 04032
877-755-2326"
-70.104642,43.857449,L.L. Bean Freeport (Home Store),"12 Nathan Nye St.
Freeport ME 04032
877-755-2326"
-70.103191,43.85586,L.L. Bean Freeport (Outlet),"One Freeport Village Station
Freeport ME 04032
207-552-7772"
-68.742437,44.843174,L.L. Bean Bangor (Outlet),"Bangor Parkade
534 Stillwater Ave
Bangor ME 04401
207-942-0146"
-68.412824,44.536818,L.L. Bean Ellsworth (Outlet),"150 High Street
Ellsworth ME 04605
207-667-7753"
-104.874646,39.561576,L.L. Bean Lone Tree (Retail),"8525 Park Meadows Ctr Dr
Lone Tree, CO 80124
1-888-615-9975 "
-73.478079,41.38143,L.L. Bean Danbury (Retail),"Danbury Fair
7 Backus Ave.
Danbury CT 06810
888-615-9964"
-72.930711,41.31088,L.L. Bean New Haven (Outlet),"The Shops at Yale
272 Elm Street
New Haven, CT 06511 
1-888-660-1571 "
-72.557655,41.809983,L.L. Bean South Windsor (Retail),"Promenade at Evergreen
75 Evergreen Way
South Windsor CT 06074
860-643-3840"
-87.95263,41.850705,L.L. Bean Oak Brook,"Oakbrook Center
2202 Oakbrook Center
Oak Brook, IL 60523
1-888-298-4270 "
-87.747711,42.061758,L.L. Bean Skokie (Retail),"4999 Old Orchard Center
Skokie Il 60077
1-888-552-5564"
-88.186194,42.074057,L.L. Bean South Barrington (Retail),"100 West Higgins Road
South Barrington IL 60010
1-888-552-5548"
-94.636827,38.911704,L.L. Bean Leawood (Retail),"Town Center Crossing
4401 W. 119 St.
Leawood, KS 66209
1-888-534-5804"
-77.11674,39.0511,L.L. Bean North Bethesda,"Pike and Rose
925 Rose Ave 
North Bethesda, MD 20852 
1-888-660-1570 "
-71.047706,42.353047,L.L. Bean Boston,"One Seaport
56 Seaport Blvd. 
Boston, MA 02210
1-888-660-1572 "
-71.192222,42.485675,L.L. Bean Burlington (Retail),"6 Wayside Rd
Space T
Burlington MA 01803
781-505-1460"
-71.178691,42.232093,L.L. Bean Dedham (Retail),"340 Legacy Place
Dedham, MA 02026
800-650-6358"
-72.552024,42.35626,L.L. Bean Hadley (Coming Soon),"Mountain Farms
353 Russell Street
Hadley, MA 01035
1-800-441-5713 "
-71.230899,42.012802,L.L. Bean Mansfield (Retail),"280 School Street
Mansfield MA 02048
508-261-0400"
-70.490645,41.617607,L.L. Bean Mashpee,"Mashpee Commons
7 Market Street
Mashpee, MA 02649
1-888-660-1568 "
-70.742525,41.774169,L.L. Bean Wareham (Outlet),"2421 Cranberry Highway
Wareham Crossing Mall, Unit 404
Wareham MA 02571
508-291-0915"
-82.946022,42.6266,L.L. Bean Clinton Township,"The Mall at Partridge Creek
17370 Hall Road Ste.121 
Clinton Township, MI 48038 
1-888-534-5796 "
-93.239474,44.852949,L.L. Bean Bloomington (Retail),"Mall of America, Lvl 1, SE
100 South Ave
Bloomington, MN 55425
1-888-615-9974 "
-71.115147,44.017336,L.L. Bean North Conway (Outlet),"1390 White Mountain Highway
North Conway NH 03860
603-356-2100"
-70.835031,42.966384,L.L. Bean North Hampton (Outlet),"35 Lafayette Rd.
North Hampton NH 03862
888-615-9965"
-71.532825,43.211459,L.L. Bean Concord (Outlet),"55 Fort Eddy Road
Concord NH 03301
603-225-6575"
-71.494684,42.765443,L.L. Bean Nashua (Outlet),"31 Gusabel Ave.
Nashua NH 03060
603-880-4829"
-72.315999,43.63365,L.L. Bean West Lebanon (Retail),"8 Glen Road
West Lebanon NH 03784
603-298-6975"
-74.300177,40.253646,L.L. Bean Freehold (Retail),"Raceway Mall
3710 Route 9 South
Freehold, NJ 07728
1-888-615-9968 "
-74.920509,39.876363,L.L. Bean Marlton (Retail),"The Promenade at Sagemore
500 Route 73 S 
Marlton, NJ 08053
1-888-552-9883 "
-74.068297,40.957154,L.L. Bean Paramus (Retail),"Paramus Park Mall
700 Paramus Park
Paramus, NJ 07652
1-888-490-3837 "
-73.81831,42.709924,L.L. Bean Albany (Retail),"131 Colonie Center
Albany NY 12205
518-437-5460"
-76.02011,43.033403,L.L. Bean Fayetteville (Retail),"304 Towne Drive
Fayetteville NY 13066
1-315-637-0974"
-73.128997,40.8645,L.L. Bean Lake Grove,"Smith Haven Mall
220 Smith Haven Mall 
Lake Grove, NY 11755
1-888-660-1567"
-77.443595,43.025985,L.L. Bean Victor (Retail),"60 Eastview Mall Dr.
Victor NY 14564
888-552-5583"
-73.857315,40.963412,L.L. Bean Yonkers (Retail),"Westchester's Ridge Hill
1 Ridge Hill Blvd
Yonkers NY 10710
888-490-3836"
-73.698532,43.365681,L.L. Bean Lake George (Outlet),"Adirondack Outlet Mall
1444 U.S. 9
Lake George, NY 12845
1-888-615-9978 "
-84.374304,39.204794,L.L. Bean Cincinnati,"The Kenwood Collection
5901 East Galbraith Road, Suite 110
Cincinnati, OH 45236 
1-888-534-5802 "
-82.915328,40.049901,L.L. Bean Columbus (Retail),"Easton Town Center
4222 Easton Loop West
Columbus, OH 43219
1-888-534-5809 "
-81.499506,41.502649,L.L. Bean Lyndhurst (Retail),"Legacy Village
25225 Cedar Rd
Lyndhurst, OH 44124
1-888-534-5808 "
-75.414218,40.558649,L.L. Bean Center Valley,"Promenade Shops at Saucon Valley
3301 Center Valley Pkwy
Center Valley, PA 18034
1-888-552-9885 "
-75.393221,40.086251,L.L. Bean King of Prussia (Retail),"The Plaza, Upper Level A
160 North Gulph Road
King of Prussia, PA 19406
1-888-473-1828 "
-80.006186,40.546263,L.L. Bean Pittsburgh (Retail),"1000 Ross Park Mall Dr.
Pittsburgh PA 15237
412-318-1200"
-71.457912,41.758146,L.L. Bean Cranston,"Garden City Center
200 Hillside Road
Cranston, RI 02920
888-534-5801 "
-111.497528,40.646435,L.L. Bean Park City,"The Kimball on Main
675 Main Street
Park City, UT 84060
888-292-3915 "
-73.212762,44.478774,L.L. Bean Burlington (Retail),"49 Church Street
Burlington, VT 05401
1-888-615-9973 "
-78.491041,38.06371,L.L. Bean Charlottesville,"The Shops at Stonefield
2015 Bond Street
Charlottesville, VA 22901
888-660-1569 "
-77.61944,37.656218,L.L. Bean Richmond (Retail),"Short Pump Town Center
11800 West Broad Street
Richmond, VA 23233
1-888-534-5803 "
-77.222428,38.916603,L.L. Bean Tysons Corners (Retail),"Tysons Corners Centre
1961 Chain Bridge Road
McLean VA 22102
703-288-4466"
-76.073069,36.814374,L.L. Bean Virginia Beach (Retail),"Lynnhaven Mall
701 Lynnhaven Parkway
Virginia Beach, VA 23452
1-800-441-5713 "
-88.164003,43.035289,L.L. Bean Brookfield,"The Corners of Brookfield
20200 Union Street
Brookfield, WI 53045
1-888-534-5812 "
-89.452586,43.071975,L.L. Bean Madison,"Hilldale Shopping Center
434 N. Midvale Blvd
Madison, WI 53705 
888-615-9976 "
-79.686598,43.461452,L.L. Bean Oakville (Retail),"Oakville Place
240 Leighland Ave., Unit #165,
Oakville, ON L6H 3H6
289-837-1152"
-79.709781,44.413077,L.L. Bean Barrie (Retail),"Georgian Mall
509 Bayfield Street
Barrie, ON L4M 4Z8
705-719-2776"
-75.645489,45.413651,L.L. Bean Ottawa (Retail),"Train Yards
550 Terminal Avenue
Ottawa, ON K1G 0Z3
613-562-4907"
