long,lat,name,info
-114.0717078,50.99894304,"Chinook Centre - Canada","6455 Macleod Trail Southwest, Calgary, AB T2H0K9 * Phone: (403) 259-2100"
-86.730063,33.450376,"The Summit","300 Summit Blvd, Birmingham, AL 35243 * Phone: (205) 298-0373"
-86.588881,34.707026,"Parkway Place","2801 Memorial Parkway South, Huntsville, AL 35801 * Phone: (256) 519-6429"
-87.851927,30.671082,"Eastern Shore Center","30500 State Highway 181 Suite 814, Spanish Fort, AL 36527 * Phone: (251) 625-0551"
-92.340932,34.753142,"Midtowne Little Rock","201 North University Avenue, Little Rock, AR 72205 * Phone: (501) 663-0181"
-111.896802,33.305563,"Chandler Fashion Center","3111 West Chandler Blvd. Suite #1000, Chandler, AZ 85226 * Phone: (480) 899-7055"
-112.029917,33.509537,"Phoenix/Biltmore","2402 E Camelback Rd. Ste 150, Phoenix, AZ 85016 * Phone: (602) 957-2297"
-111.928849,33.502437,"Scottsdale Fashion","7014 E Camelback Rd. # 1208, Scottsdale, AZ 85251 * Phone: (480) 947-7764"
-110.930217,32.32294,"La Encantada","2905 East Skyline Drive, Tucson, AZ 85718 * Phone: (520) 615-3470"
-123.1386,49.2622,"S Granville Centre - Canada","2600 Granville Street, Vancouver, BC V6H 3H8 * Phone: (604) 678-9897"
-118.400576,34.068696,"Beverly Hills","300 N Beverly Dr, Beverly Hills, CA 90210 * Phone: (310) 860-9506"
-117.886233,33.91323,"Brea Mall","1065 Brea Mall, Brea, CA 92821 * Phone: (714) 672-1260"
-122.346567,37.579055,"Burlingame","1230 Burlingame Avenue, Burlingame, CA 94010 * Phone: (650) 348-0668"
-118.605733,34.189237,"Topanga","6600 Topanga Canyon Rd, Canoga Park, CA 91303 * Phone: (818) 884-9681"
-122.513211,37.931273,"Village At Corte Madera","1822 Redwood Highway, Corte Madera, CA 94925 * Phone: (415) 924-1392"
-117.892424,33.693351,"South Coast Plaza West","3333 Bear Street, Costa Mesa, CA 92626 * Phone: (714) 966-2482"
-122.292047,37.834901,"Bay Street Shopping Center","5640 Bay Street, Emeryville, CA 94608 * Phone: (510) 658-6430"
-119.8014,36.7994,"Fig Garden Village","740 Westshaw Avenue, Fresno, CA 93704 * Phone: (559) 230-2586"
-118.376731,34.074221,"Beverly Center","131 N La Cienega Boulevard, Los Angeles, CA 90048 * Phone: (310) 360-1301"
-118.394134,33.89944,"Manhattan Village","3200 North Sepulveda Blvd, Manhattan Beach, CA 90266 * Phone: (310) 545-5803"
-117.669297,33.561716,"Mission Viejo Sc","524 The Shops At Mission Viejo, Mission Viejo, CA 92691 * Phone: (949) 364-3164"
-117.8729,33.6318,"Newport","1071 Newport Center Dr, Newport, CA 92660 * Phone: (949) 640-7023"
-116.381658,33.719563,"Gardens @ El Paseo","73-505 El Paseo, Palm Desert, CA 92260 * Phone: (760) 674-8506"
-122.172488,37.44341,"Stanford Shopping Center","800 Stanford Shopping Center, Palo Alto, CA 94304 * Phone: (650) 321-1646"
-118.150333,34.145937,"Old Town Pasadena","One E. Colorado Blvd, Pasadena, CA 91105 * Phone: (626) 577-1474"
-121.931676,37.694643,"Stoneridge Mall","1436 Stoneridge Mall Rd. Suite E114, Pleasanton, CA 94566 * Phone: (925) 469-6243"
-117.532844,34.110937,"Victoria Gardens","12484 South Mainstreet, Rancho Cucamonga, CA 91739 * Phone: (909) 646-8464"
-118.373782,33.772298,"Aves Of The Peninsula","550 Deep Valley Drive, Rolling Hills Estate, CA 90274 * Phone: (310) 265-2527"
-121.26934,38.75034,"Gallery At Roseville","1151 Harding Blvd, Roseville, CA 95678 * Phone: (916) 788-1440"
-121.426922,38.599768,"Arden Fair","1689 Arden Way, Sacramento, CA 95815 * Phone: (916) 923-3503"
-117.169163,32.769423,"San Diego/Fashion Vly Mall","7007 Friars Road, San Diego, CA 92108 * Phone: (619) 296-8014"
-117.213792,32.872414,"University Town Center","4525 La Jolla Village Drive, San Diego, CA 92122 * Phone: (858) 622-9467"
-122.475773,37.728563,"Stonestown Galleria","3251 20th Ave, San Francisco, CA 94132 * Phone: (415) 681-4140"
-122.435026,37.762896,"Market Street","2390 Market Street, San Francisco, CA 94114 * Phone: (415) 861-0800"
-122.438096,37.800714,"Chestnut Street","2100 Chestnut St, San Francisco, CA 94123 * Phone: (415) 441-1787"
-120.661228,35.281348,"Court St Centre","1060 Court Street, San Luis Obispo, CA 93401 * Phone: (805) 595-1407"
-119.746865,34.439213,"La Cumbre Plaza","110 South Hope Avenue, Santa Barbara, CA 93105 * Phone: (805) 687-6707"
-121.945978,37.323537,"Valley Fair","2855 Stevens Creek Blvd. Suite 2237, Santa Clara, CA 95050 * Phone: (408) 261-9882"
-118.498903,34.017796,"3rd Street Promenade","1228 3rd Street Promenade, Santa Monica, CA 90401 * Phone: (310) 394-2550"
-118.438052,34.157463,"Sherman Oaks","14006 Riverside Drive # 39b, Sherman Oaks, CA 91423 * Phone: (818) 783-0559"
