long,lat,name,info,a,b,c,d,e
-74.035939,40.992566,Trader Joe's; #602,201-263-0134,20 Irvington St,Westwood,NJ,07675,USA
-74.071827,40.948305,Trader Joe's; #605,201-265-9624,404 Rte 17 N,Paramus,NJ,07652,USA
-74.029863,40.753371,Trader Joe's; #611,201-714-4790,1350 Willow Ave,Hoboken,NJ,07030,USA
-73.977707,40.819816,Trader Joe's; #606,201-945-5932,715 River Rd,Edgewater,NJ,07020,USA
-77.053099,38.903933,Trader Joe's; #653,202-296-1921,1101 25th Street NW,Washington,DC,20037,USA
-76.995337,38.884506,Trader Joe's; #622,202-698-0190,750 Pennsylvania Ave SE,Washington,DC,20003,USA
-77.068329,38.917709,Trader Joe's; #620,202-944-8430,2101 Wisconsin Ave NW,Washington,DC,20007,USA
-77.03194,38.916054,Trader Joe's; #662,202-986-1591,1914 14th St NW,Washington,DC,20009,USA
-73.351945,41.140092,Trader Joe's; #521,203-226-8966,400 Post Road East,Westport,CT,06880,USA
-73.548218,41.106053,Trader Joe's; #529,203-32`-8440,1041 High Ridge Rd,Stamford,CT,06905,USA
-73.253686,41.182521,Trader Joe's; #523,203-330-8301,2258 Black Rock Turnpike,Fairfield,CT,06825,USA
-73.461818,41.085152,Trader Joe's; #522,203-656-1414,436 Boston Post Rd,Darien,CT,06820,USA
-73.520009,41.392413,Trader Joe's; #525,203-739-0098,113 Mill Plain Rd,Danbury,CT,06811,USA
-73.019133,41.252338,Trader Joe's; #524,203-795-5505,560 Boston Post Rd,Orange,CT,06477,USA
-86.731256,33.447226,Trader Joe's; #737,205-969-7801,205 Summit Blvd,Birmingham,AL,35234,USA
-122.356957,47.636251,Trader Joe's; #135,206-284-2546,1916 Queen Anne Ave N,Seattle,WA,98109,USA
-122.310114,47.615785,Trader Joe's; #130,206-322-7268,1700 Madison St,Seattle,WA,98122,USA
-122.317703,47.662281,Trader Joe's; #137,206-547-6299,4555 Roosevelt Way N.E.,Seattle,WA,98105,USA
-122.18555,47.614071,Trader Joe's; #162,206-783-0498,416 116th Ave NE,Bellevue,WA,98004,USA
-122.373844,47.662345,Trader Joe's; #147,206-783-0498,4609 14th Ave NW,Seattle,WA,98107,USA
-122.333696,47.460354,Trader Joe's; #133,206-901-9339,15868 1st. Avenue South,Burien,WA,98148,USA
-122.373438,47.56772,Trader Joe's; #157,206-913-0013,4545 Fauntleroy Way SW,Seattle,WA,98126,USA
-70.265319,43.661946,Trader Joe's; #519,207-699-3799,87 Marginal Way,Portland,ME,04101,USA
-116.20356,43.612812,Trader Joe's; #360,208-336-7282,300 S Capitol Blvd,Boise,ID,83702,USA
-116.355103,43.631828,Trader Joe's; #361,208-506-2978,2986 N Eagle Rd,Meridian,ID,83648,USA
-121.320265,38.009479,Trader Joe's; #076,209-951-7597,6535 Pacific Ave,Stockton,CA,95207,USA
-98.49939,29.609556,Trader Joe's; #455,210-545-3123,403 North Loop 1604 West,San Antonio,TX,78232,USA
-98.478235,29.496902,Trader Joe's; #451,210-826-1110,350 E Basse Rd,San Antonio,TX,78209,USA
-73.993943,40.741889,Trader Joe's; #543,212-255-2106,675 6th Ave,New York,NY,10010,USA
-73.98701,40.71619,Trader Joe's; #538,212-477-8340,400 Grand St,New York,NY,10002,USA
-73.988329,40.733637,Trader Joe's; #540,212-529-4612,142 East 14th St,New York,NY,10003,USA
-73.988306,40.733717,Trader Joe's; #541,212-529-6326,138 East 14th St,New York,NY,10003,USA
-73.969193,40.7907,Trader Joe's; #545,212-678-1680,670 Columbus Ave,New York,NY,10025,USA
-74.00475,40.72592,Trader Joe's; #539,212-6911-2721,233 Spring St,New York,NY,10013,USA
-73.98107,40.73055,Trader Joe's; #546,212-777-9412,432 E 14th St,New York,NY,10009,USA
-73.9821106,40.7786839,Trader Joe's; #542,212-799-0028,2073 Broadway,New York,NY,10023,USA
-73.978985,40.743903,Trader Joe's; #544,212-889-3279,200 E 32nd St,New York,NY,10016,USA
-118.284058,34.026539,Trader Joe's; #250,213-749-1497,3131 S Hoover St,Los Angeles,CA,90089,USA
-96.771784,32.88013,Trader Joe's; #401,214-346-6579,7939 Walnut Hill Lane,Dallas,TX,75230,USA
-96.818419,32.851185,Trader Joe's; #405,214-366-0205,5550 W Lovers Lane,Dallas,TX,75209,USA
-96.642667,33.173551,Trader Joe's; #408,214-491-1893,2851 Craig Dr,McKinney,TX,75070,USA
-96.789764,32.822532,Trader Joe's; #400,214-599-2155,4525 Cole Ave,Dallas,TX,75205,USA
-75.162603,39.954173,Trader Joe's; #618,215-563-2170,1324 Arch St,Philadelphia,PA,19017,USA
-75.175051,39.954339,Trader Joe's; #634,215-569-9282,2121 Market St,Philadelphia,PA,19103,USA
-75.223376,40.208192,Trader Joe's; #639,215-646-5870,1430 Bethlehem Pike,North Wales,PA,19454,USA
-75.123108,40.108229,Trader Joe's; #633,215-885-5240,933 Old York Rd,Jenkintown,PA,19046,USA
-81.477722,41.462507,Trader Joe's; #676,216-591-9457,28425 Chagrin Blvd,Woodmere,OH,44122,USA
-77.000802,38.907339,Trader Joe's; #621,220-608-1023,350 Florida Ave NE,Washington,DC,20002,USA
-91.153477,30.421358,Trader Joe's; #754,225-382-0588,3535 Perkins Rd,Baton Rouge,LA,70808,USA
-81.801609,26.267764,Trader Joe's; #762,239-596-5631,10600 Tamiami Trail North,Naples,FL,34108,USA
-83.194477,42.680837,Trader Joe's; #668,248-375-2190,3044 Walton Blvd,Rochester Hills,MI,48309,USA
-83.163745,42.495044,Trader Joe's; #674,248-582-9002,27880 Woodward Ave,Royal Oak,MI,48067,USA
-83.285898,42.544128,Trader Joe's; #675,248-855-2283,6536 Telegraph Rd,Bloomfield Hills,MI,48301,USA
-122.537301,47.222772,Trader Joe's; #148,253-460-2672,3800 Bridgeport Way West,University Place,WA,98466,USA
-122.313601,47.314547,Trader Joe's; #134,253-529-9242,1758 S 320th St,Federal Way,WA,98003,USA
-122.166882,47.358211,Trader Joe's; #163,253-639-3419,12966 SE Kent-Kangley Rd,Kent,WA,98030,USA
-88.069365,43.036254,Trader Joe's; #726,262-784-4806,12665 W Bluemound Rd,Brookfield,WI,53005,USA
-85.651456,42.270919,Trader Joe's; #708,269-372-2049,5099 Century Ave,Kalamazoo,MI,49006,USA
-95.776617,29.73862,Trader Joe's; #429,281-392-4200,2717 Commercial Center Blvd,Katy,TX,77494,USA
-95.537121,30.176273,Trader Joe's; #428,281-465-0254,10868 Kuykendahl Rd,The Woodlands,TX,77381,USA
-95.584464,29.736476,Trader Joe's; #431,281-496-2488,11683 Westheimer Rd,Houston,TX,77077,USA
-77.1266,39.0509,Trader Joe's; #642,301-468-6656,12268-H Rockville Pike,Rockville,MD,20852,USA
-77.004598,39.030976,Trader Joe's; #652,301-681-1675,10741 Columbia Pike,Silver Spring,MD,20901,USA
-77.207011,39.096947,Trader Joe's; #648,301-762-0782,10076 Darnestown Rd,Rockville,MD,20850,USA
-77.090875,38.978067,Trader Joe's; #645,301-907-0982,6831 Wisconsin Ave,Bethesda,MD,20815,USA
-75.542621,39.833872,Trader Joe's; #636,302-478-8494,5605 Concord Pike,Wilmington,DE,19803,USA
-104.98238,39.726619,Trader Joe's; #302,303-318-7112,661 Logan St,Denver,CO,80203,USA
-104.94061,39.728464,Trader Joe's; #300,303-321-1003,750 Colorado Blvd,Denver,CO,80206,USA
-104.9406,39.728971,Trader Joe's; #310,303-321-3245,790 Colorado Blvd,Denver,CO,80206,USA
-105.258315,40.019922,Trader Joe's; #301,303-443-0160,1906 28th St,Boulder,CO,80301,USA
-104.958107,39.608356,Trader Joe's; #303,303-730-3848,5910 S University Blvd,Greenwood Village,CO,80121,USA
-80.142281,25.791742,Trader Joe's; #779,305-534-4951,1683 West Ave,Miami Beach,FL,33139,USA
-80.312523,25.684263,Trader Joe's; #770,305-661-1432,9205 S Dixie Hwy,Miami,FL,33156,USA
-118.393152,34.025351,Trader Joe's; #036,310-202-1108,9290 Culver Blvd,Culver City,CA,90232,USA
-118.377098,34.07119,Trader Joe's; #237,310-248-2984,8500 Burton Way,Los Angeles,CA,90048,USA
-118.480232,34.033287,Trader Joe's; #253,310-264-2223,2300 Wilshire Blvd,Santa Monica,CA,90403,USA
-118.459276,33.981887,Trader Joe's; #205,310-301-4461,4675 Admiralty Way,Marina Del Rey,CA,90292,USA
-118.393552,33.988108,Trader Joe's; #251,310-313-0441,6150 Slauson Ave,Culver City,CA,90230,USA
-118.385859,33.817812,Trader Joe's; #038,310-316-1745,1761 South Elena Ave,Redondo Beach,CA,90277,USA
-118.393085,33.86365,Trader Joe's; #248,310-318-1767,1100 Pacific Coast Hwy,Hermosa Beach,CA,90254,USA
-118.330828,33.790564,Trader Joe's; #029,310-326-9520,2545 Pacific Coast Hwy,Torrance,CA,90505,USA
-118.396364,33.959138,Trader Joe's; #033,310-338-9238,8645 South Sepulveda,Westchester,CA,90045,USA
-118.380352,33.887537,Trader Joe's; #034,310-372-1274,1821 Manhattan Beach Blvd,Manhattan Beach,CA,90266,USA
-118.421375,34.03017,Trader Joe's; #007,310-470-1917,10850 National Blvd,West Los Angeles,CA,90064,USA
-118.449425,34.033753,Trader Joe's; #215,310-477-5949,11755 W Olympic Blvd,Los Angeles,CA,90064,USA
-118.4493,34.0336,Trader Joe's; #215,310-477-5949,11755 W Olympic Blvd,West Los Angeles,CA,90064,USA
-118.40706,33.749265,Trader Joe's; #233,310-544-1727,31176 Hawthorne Blvd,Rancho Palos Verdes,CA,90275,USA
-118.456109,34.026285,Trader Joe's; #006,310-581-0253,3212 Pico Blvd,Santa Monica,CA,90405,USA
-118.379385,34.088093,Trader Joe's; #173,310-657-0152,8611 Santa Monica Blvd,West Hollywood,CA,90069,USA
-118.380927,33.901663,Trader Joe's; #106,310-725-9800,1800 Rosecrans Blvd,Manhattan Beach,CA,90266,USA
-118.353456,33.8528,Trader Joe's; #121,310-793-8585,19720 Hawthorne Blvd,Torrance,CA,90503,USA
-118.4439,34.0624,Trader Joe's; #234,310-824-1495,1000 Glendon Ave,Los Angeles,CA,90024,USA
-118.311572,33.757407,Trader Joe's; #057,310-832-1241,28901 South Western Ave,Rancho Palos Verdes,CA,90275,USA
-118.422666,34.020059,Trader Joe's; #119,310-836-2458,3456 S. Sepulveda Blvd,West Los Angeles,CA,90034,USA
-87.654542,41.914392,Trader Joe's; #691,312-274-9733,1840 N. Clybourn Ave,Chicago,IL,60614,USA
-87.625641,41.867619,Trader Joe's; #701,312-588-0489,1147 S Wabash Ave,Chicago,IL,60605,USA
-87.626478,41.893438,Trader Joe's; #696,312-951-6369,44 E Ontario St,Chicago,IL,60611,USA
-82.916422,42.389892,Trader Joe's; #665,313-640-7794,17028 Kercheval Ave,Grosse Pointe,MI,48230,USA
-90.435722,38.671436,Trader Joe's; #694,314-569-0427,11505 Olive Blvd,Creve Coeur,MO,63141,USA
-90.341323,38.627777,Trader Joe's; #692,314-963-0253,48 Brentwood Promenade Court,Brentwood,MO,63144,USA
-90.468153,38.600848,Trader Joe's; #695,314-984-5051,13343 Manchester Rd,Des Peres,MO,63131,USA
-76.069586,43.045829,Trader Joe's; #537,315-446-1629,3422 Erie Blvd E,Syracuse,NY,13214,USA
-97.243757,37.716273,Trader Joe's; #729,316-634-1846,1800 N Rock d,Wichita,KS,67206,USA
-86.211449,39.912037,Trader Joe's; #670,317-337-1880,2902 West 86th St,Indianapolis,IN,46268,USA
-86.075229,39.904765,Trader Joe's; #671,317-595-8950,5473 East 82nd St,Indianapolis,IN,46250,USA
-91.59982,41.68645,Trader Joe's; #728,319-351-7223,920 Ponseti Way,Coralville,IA,52241,USA
-118.199929,34.139363,Trader Joe's; #055,323-257-6422,1566 Colorado Blvd,Eagle Rock,CA,90041,USA
-118.271714,34.107919,Trader Joe's; #017,323-665-6774,2738 Hyperion Ave,Los Angeles,CA,90027,USA
-118.364446,34.097987,Trader Joe's; #192,323-822-7663,8000 W Sunset Blvd,Los Angeles,CA,90046,USA
-118.326,34.0998,Trader Joe's; #206,323-856-0689,1600 N Vine St,Los Angeles,CA,90028,USA
-118.361484,34.072693,Trader Joe's; #240,323-931-4012,175 S Fairfax Ave,Los Angeles,CA,90036,USA
-118.344165,34.069703,Trader Joe's; #031,323-965-1989,263 S La Brea,Los Angeles,CA,90036,USA
-118.349257,34.090699,Trader Joe's; #040,323-969-8048,7310 Santa Monica Blvd,West Hollywood,CA,90046,USA
-79.857841,36.131294,Trader Joe's; #750,336-286-7859,3721 Battleground Ave,Greensboro,NC,27410,USA
-80.278089,36.094797,Trader Joe's; #749,336-721-1744,252 S Stratford RD,Winston-Salem,NC,27103,USA
-82.37873,29.621492,Trader Joe's; #764,352-378-9321,3724 SW Archer Rd,Gainesville,FL,32608,USA
-122.681238,47.656114,Trader Joe's; #158,360-307-7224,9991 Mickelberry Rd,Silverdale,WA,98383,USA
-122.938267,47.034266,Trader Joe's; #156,360-352-7440,1530 Black Lake Blvd SW,Olympia,WA,98502,USA
-122.464727,48.761973,Trader Joe's; #151,360-734-5166,2410 James St,Bellingham,WA,98225,USA
-122.554644,45.619438,Trader Joe's; #136,360-883-9000,305 S.E. Chkalov Dr,Vancouver,WA,98683,USA
-71.489225,41.711672,Trader Joe's; #518,401-821-5368,1000 Bald Hill Rd,Warwick,RI,02886,USA
-96.674459,40.741048,Trader Joe's; #722,402-328-0120,3120 Pine Lake Rd,Lincoln,NE,68516,USA
-96.07359,41.2486758,Trader Joe's; #719,402-391-3698,10305 Pacific St,Omaha,NE,68114,USA
-84.378934,33.926144,Trader Joe's; #731,404-236-2414,6277 Roswell Rd. NE,Sandy Springs,GA,30328,USA
-84.369127,33.779837,Trader Joe's; #730,404-815-9210,931 Monroe Dr,Atlanta,GA,30308,USA
-84.37529,33.841071,Trader Joe's; #735,404-842-0907,3183 Peachtree Rd NE,Atlanta,GA,30305,USA
-97.532036,35.537846,Trader Joe's; #461,405-843-5655,6409 Avondale Dr,Nichols Hills,OK,73116,USA
-81.496742,28.450544,Trader Joe's; #768,407-345-0611,8323 W Sand Lake Rd,Orlando,FL,32819,USA
-81.365868,28.598183,Trader Joe's; #765,407-622-0874,131 N Orlando Ave,Winter Park,FL,32789,USA
-122.06778,37.337762,Trader Joe's; #127,408-245-1917,2310 Homestead Rd,Los Altos,CA,94024,USA
-121.909057,37.341154,Trader Joe's; #212,408-298-9731,635 Coleman Ave,San Jose,CA,95110,USA
-121.95902,37.243786,Trader Joe's; #181,408-356-2324,15466 Los Gatos Blvd,Los Gatos,CA,95032,USA
-121.931872,37.28951,Trader Joe's; #073,408-369-7823,1875 Bascom Ave,Campbell,CA,95008,USA
-122.0004,37.3069,Trader Joe's; #062,408-446-5055,5269 Prospect Rd,San Jose,CA,95129,USA
-122.035921,37.368215,Trader Joe's; #068,408-736-7573,316 West El Camino Real,Sunnyvale,CA,94087,USA
-121.637132,37.131251,Trader Joe's; #202,408-778-6409,17035 Laurel Rd,Morgan Hill,CA,95037,USA
-122.031449,37.312115,Trader Joe's; #232,408-873-7384,7250 Bollinger Rd,San Jose,CA,95129,USA
-121.875771,37.252301,Trader Joe's; #063,408-927-9091,5353 Almaden Expressway,San Jose,CA,95118,USA
-76.618882,39.411683,Trader Joe's; #649,410-296-9851,800 Kenilworth Dr,Towson,MD,21204,USA
-76.736854,39.387343,Trader Joe's; #655,410-484-8373,1809 Reisterstown Rd,Pikesville,MD,21208,USA
-76.5367,38.9853,Trader Joe's; #650,410-573-0505,160 F Jennifer Rd,Annapolis,MD,21401,USA
-76.794657,39.188356,Trader Joe's; #658,410-953-8139,6610 Marie Curie Dr,Elkridge,MD,21075,USA
-79.919163,40.458868,Trader Joe's; #638,412-363-5748,6343 Penn Ave,Pittsburgh,PA,15206,USA
-80.022469,40.570186,Trader Joe's; #624,412-366-1131,9020 Covenant Ave,Pittsburgh,PA,15237,USA
-80.051096,40.350212,Trader Joe's; #630,412-835-2212,1630 Washington Road,Pittsburgh,PA,15241,USA
-72.549791,42.358102,Trader Joe's; #512,413-587-3260,375 Russell St,Hadley,MA,01035,USA
-87.916258,43.118901,Trader Joe's; #711,414-962-3382,5600 North Port Washington Rd,Milwaukee,WI,53217,USA
-122.417422,37.79082,Trader Joe's; #200,415-292-7665,1095 Hyde St,San Francisco,CA,94109,USA
-122.447396,37.782678,Trader Joe's; #100,415-346-9964,3 Masonic Ave,San Francisco,CA,94118,USA
-122.41376,37.805443,Trader Joe's; #019,415-351-1013,401 Bay St,San Francisco,CA,94133,USA
-122.516919,37.970378,Trader Joe's; #061,415-454-9530,337 Third St,San Rafael,CA,94901,USA
-122.405609,37.785558,Trader Joe's; #225,415-536-7801,10 4th St,San Francisco,CA,94103,USA
-122.475651,37.726808,Trader Joe's; #236,415-665-1835,265 Winston Dr,San Francisco,CA,94132,USA
-122.4122,37.7718,Trader Joe's; #078,415-863-1292,555 Ninth St,San Francisco,CA,94103,USA
-122.568345,38.111635,Trader Joe's; #198,415-898-9359,7514 Redwood Blvd,Novato,CA,94945,USA
-122.514911,37.905144,Trader Joe's; #235,415-945-7955,2052 Redwood Hwy,Greenbrae,CA,94904,USA
-122.220839,47.910409,Trader Joe's; #139,425-513-2210,811 S.E. Everett Mall Way,Everett,WA,98208,USA
-122.05206,47.544928,Trader Joe's; #138,425-557-6420,975 NW Gilman Blvd,Issaquah,WA,98027,USA
-122.132642,47.63158,Trader Joe's; #131,425-641-5069,15563 NE 24th St,Bellevue,WA,98007,USA
-122.313927,47.820049,Trader Joe's; #129,425-744-1346,19715 Hwy 99,Lynnwood,WA,98036,USA
-122.180343,47.710594,Trader Joe's; #132,425-823-1685,12520 Totem Lake Blvd NE,Kirkland,WA,98034,USA
-122.03549,47.613547,Trader Joe's; #160,425-836-0837,490 228th Ave NE,Sammamish,WA,98074,USA
-122.127799,47.625596,Trader Joe's; #140,425-883-1624,15932 Redmond Way,Redmond,WA,98052,USA
-78.492594,38.064553,Trader Joe's; #661,434-974-1466,2025 Bond St,Charlottesville,VA,22901,USA
-81.951086,41.457352,Trader Joe's; #677,440-250-1592,175 Market St,Westlake,OH,44145,USA
-96.770561,32.814907,Trader Joe's; #403,469-334-0614,2001 Greenville Ave,Dallas,TX,75206,USA
-111.8887,33.6076,Trader Joe's; #087,480-367-8920,7555 East Frank Lloyd Wright Blvd,Scottsdale,AZ,85260,USA
-111.787486,33.379237,Trader Joe's; #089,480-632-0951,2050 East Baseline Road,Mesa,AZ,85204,USA
-111.994749,33.304029,Trader Joe's; #177,480-759-2295,4025 E. Chandler Blvd; Ste 38,Ahwatukee,AZ,85048,USA
-111.911363,33.361829,Trader Joe's; #093,480-838-4142,6460 South McClintock,Tempe,AZ,85283,USA
-111.751465,33.306702,Trader Joe's; #285,480-857-9878,1779 E Williams Field Rd,Gilbert,AZ,85295,USA
-111.92603,33.528361,Trader Joe's; #094,480-948-9886,6202 North Scottsdale Road,Scottsdale,AZ,85253,USA
-92.401726,34.748238,Trader Joe's; #756,501-954-7659,11500 Financial Centre Pkwy,Little Rock,AR,72211,USA
-85.628168,38.250681,Trader Joe's; #628,502-895-1361,4600 Shelbyville Road,Louisville,KY,40207,USA
-122.621024,45.533992,Trader Joe's; #144,503-284-1694,4121 N.E. Halsey St,Portland,OR,97213,USA
-123.034062,44.889634,Trader Joe's; #153,503-378-9042,4450 Commercial St,Salem,OR,97302,USA
-122.797462,45.486687,Trader Joe's; #141,503-626-3794,11753 SW Beaverton Hillsdale Hwy,Beavrtton,OR,97005,USA
-122.743095,45.41373,Trader Joe's; #142,503-639-3238,15391 S. W. Bangy Rd,Lake Oswego,OR,97035,USA
-122.867624,45.536813,Trader Joe's; #149,503-645-8321,2285 NW 185th Ave,Hillsboro,OR,97124,USA
-122.579342,45.455791,Trader Joe's; #152,503-771-6300,9345 SE 82nd Ave,Clackamas,OR,97086,USA
-122.623049,45.4886,Trader Joe's; #143,503-777-1601,4715 S.E. 39th Ave,Portland,OR,97202,USA
-83.769456,31.136266,Trader Joe's; #755,504-831-0253,2949 Veterans Blvd,Metairie,LA,70002,USA
-106.54371,35.175563,Trader Joe's; #166,505-796-0311,8928 Holly Ave. NE,Albuquerque,NM,87122,USA
-106.566242,35.101493,Trader Joe's; #167,505-883-3662,2200 Uptown Loop NE,Albuquerque,NM,87110,USA
-105.953324,35.673906,Trader Joe's; #165,505-995-8145,530 West Cordova Rd,Santa Fe,NM,87505,USA
-92.480776,44.000963,Trader Joe's; #718,507-281-4411,1200 16th St. SW,Rochester,MN,55902,USA
-71.26313,42.08791,Trader Joe's; #528,508-543-1978,350 Patriot Place,Foxborough,MA,02035,USA
-71.75063,42.274872,Trader Joe's; #508,508-755-9560,77 Boston Turnpike,Shrewsbury,MA,01545,USA
-70.291959,41.667086,Trader Joe's; #514,508-790-3008,655 Route 132,Hyannis,MA,02601,USA
-71.424243,42.298608,Trader Joe's; #503,508-935-2931,659 Worcester Rd,Framingham,MA,01701,USA
-117.41116,47.708161,Trader Joe's; #164,509-487-4188,5520 N Division St,Spokane,WA,99208,USA
-117.367434,47.628192,Trader Joe's; #159,509-534-1077,2975 East 29th Ave,Spokane,WA,99223,USA
-122.2733151,37.8715886,Trader Joe's; #186,510-204-9074,1885 University Ave,Berkeley,CA,94703,USA
-122.285907,37.994535,Trader Joe's; #230,510-222-3501,2742 Pinole Valley Rd,Pinole,CA,94564,USA
-122.244909,37.810316,Trader Joe's; #203,510-238-9076,3250 Lakeshore Ave,Oakland,CA,94610,USA
-122.301774,37.899184,Trader Joe's; #108,510-514-7609,225 El Cerrito Plaza,El Cerrito,CA,94530,USA
-122.073365,37.685247,Trader Joe's; #084,510-538-2738,22224 Redwood Road,Castro Valley,CA,94546,USA
-122.29425,37.836975,Trader Joe's; #072,510-658-8091,5700 Christie Ave,Emeryville,CA,94608,USA
-122.253424,37.757268,Trader Joe's; #109,510-769-5450,2217 South Shore Center,Alameda,CA,94501,USA
-121.986739,37.543442,Trader Joe's; #077,510-794-1386,39324 Argonaut Way,Fremont,CA,94538,USA
-122.252044,37.845428,Trader Joe's; #231,510-923-9428,5727 College Ave,Oakland,CA,94618,USA
-97.751503,30.39505,Trader Joe's; #454,512-241-1248,9722 Great Hills Trail,Austin,TX,78759,USA
-97.789223,30.270309,Trader Joe's; #453,512-306-1032,2805 Bee Cave Rd,Austin,TX,78746,USA
-97.753359,30.26639,Trader Joe's; #452,512-474-2263,211 Seaholm Dr,Austin,TX,78703,USA
-84.381091,39.198506,Trader Joe's; #669,513-984-3452,7788 Montgomery Rd,Cincinnati,OH,45236,USA
-93.795623,41.561843,Trader Joe's; #721,515-225-3820,6305 Mills Civic Pkwy,West Des Moines,IA,50266,USA
-73.640989,40.627618,Trader Joe's; #552,516-536-9163,3418 Long Beach Rd,Oceanside,NY,11572,USA
-73.701647,40.639082,Trader Joe's; #554,516-569-7191,1280 West Broadway,Hewlett,NY,11557,USA
-73.558619,40.653714,Trader Joe's; #553,516-771-1012,1714 Merrick Rd,Merrick,NY,11566,USA
-73.604456,40.743662,Trader Joe's; #550,516-794-0174,910 Old Country Road,Garden City,NY,11530,USA
-73.502629,40.781514,Trader Joe's; #555,516-933-6900,425 S. Oyster Bay Rd,Plainview,NY,11803,USA
-73.812825,42.714778,Trader Joe's; #535,518-482-4538,79 Wolf Road,Colonie,NY,12205,USA
-110.891253,32.250463,Trader Joe's; #088,520-323-4500,4766 East Grant Road,Tucson,AZ,85712,USA
-110.943961,32.283267,Trader Joe's; #191,520-325-0069,4209 North Campbell Avenue,Tucson,AZ,85719,USA
-110.858746,32.237074,Trader Joe's; #095,520-733-1313,1101 North Wilmot Road,Tucson,AZ,85712,USA
-110.974958,32.350274,Trader Joe's; #096,520-797-4207,7912 North Oracle,Oro Valley,AZ,85704,USA
-122.355675,40.592843,Trader Joe's; #219,530-223-4875,845 Browning St,Redding,CA,96003,USA
-121.846873,39.758615,Trader Joe's; #199,530-343-9920,801 East Ave,Chico,CA,95926,USA
-121.761846,38.546806,Trader Joe's; #182,530-757-2693,885 Russell Blvd,Davis,CA,95616,USA
-121.299449,44.102579,Trader Joe's; #150,541-312-4198,63455 North Highway 97,Bend,OR,97701,USA
-123.074388,44.066244,Trader Joe's; #145,541-485-1744,85 Oakway Center,Eugene,OR,97401,USA
-122.921608,42.340797,Trader Joe's; #155,541-608-4993,55 Rossanley Dr,Medford,OR,97501,USA
-123.258522,44.582329,Trader Joe's; #154,541-753-0048,1550 NW 9th St,Corvallis,OR,97330,USA
-119.728445,36.84926,Trader Joe's; #180,559-325-3120,1077 N. Willow,Clovis,CA,93611,USA
-119.785643,36.856872,Trader Joe's; #008,559-433-6478,8478 N Friant Rd,Fresno,CA,93720,USA
-80.33483,26.438733,Trader Joe's; #771,561-278-1493,1851 S Federal Hwy,Delray Beach,FL,33483,USA
-80.086586,26.342331,Trader Joe's; #773,561-338-5031,855 S Federal Hwy,Boca Raton,FL,33432,USA
-80.074445,26.844627,Trader Joe's; #772,561-514-6455,2560 PGA Blvd,Palm Beach Gardens,FL,33410,USA
-80.203452,26.638189,Trader Joe's; #774,561-656-1067,2877 S SR 7,Wellington,FL,33414,USA
-117.969156,33.918524,Trader Joe's; #005,562-266-1428,2101 W Imperial Hwy,La Habra,CA,90631,USA
-118.058488,33.868234,Trader Joe's; #104,562-402-5148,12861 Towne Center Dr,Cerritos,CA,90703,USA
-118.1894,33.385649,Trader Joe's; #116,562-422-1020,4210 Long Beach Blvd,Long Beach,CA,90807,USA
-118.125034,33.797084,Trader Joe's; #194,562-596-2514,2222 Bellflower Blvd,Long Beach,CA,90815,USA
-118.110254,33.757294,Trader Joe's; #043,562-596-4388,6451 E. Pacific Coast Hwy,Long Beach,CA,90803,USA
-118.006115,33.948931,Trader Joe's; #048,562-698-1642,15025 E. Whittier Blvd,Whittier,CA,90603,USA
-77.537891,43.102163,Trader Joe's; #534,585-248-5011,3349 Monroe Ave,Rochester,NY,14618,USA
-111.979655,33.582914,Trader Joe's; #282,602-485-7788,4726 East Shea Blvd,Phoenix,AZ,85028,USA
